antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'weather_band=fair_weather', 'time_band=night', 'temp_band=freezing'})",frozenset({'congestion_level=Low'}),0.05789279112754159,0.25000616142945165,0.050006161429451634,0.8637718177948064,3.4550021201719505,1.0,0.03553260694521795,5.505423521256935,0.754228998931596,0.19390290519877676,0.8183609315180004,0.5318957669415673
"frozenset({'temp_band=warm', 'time_band=late_evening'})",frozenset({'congestion_level=Moderate'}),0.0670856438693777,0.25000616142945165,0.05789279112754159,0.8629684055841292,3.451788550529973,1.0,0.041120966816735244,5.4731453849571885,0.761372265098871,0.22335266711039267,0.8172897064367272,0.5472669314986892
"frozenset({'time_band=night', 'temp_band=freezing'})",frozenset({'congestion_level=Low'}),0.08179913739987676,0.25000616142945165,0.07053604436229205,0.8623079240735162,3.4491466895980794,1.0,0.050085756012708565,5.446891794782607,0.7733310292194058,0.2699745307046505,0.8164090571878321,0.5722225740241398
"frozenset({'weather_band=adverse_weather', 'time_band=night', 'temp_band=freezing'})",frozenset({'congestion_level=Low'}),0.02390634627233518,0.25000616142945165,0.02052988293284042,0.8587628865979382,3.4349668891671272,1.0,0.01455314906749062,5.310175353382717,0.7262380776070055,0.0810232467658788,0.811682301722301,0.4704401972421868
"frozenset({'weather_band=fair_weather', 'time_band=night'})",frozenset({'congestion_level=Low'}),0.1653974121996303,0.25000616142945165,0.14191004313000616,0.857994337654597,3.4318927691576566,1.0,0.10055967099561183,5.281436149682007,0.8490455395740657,0.5188789762999008,0.810657561379359,0.7128102603099483
"frozenset({'temp_band=warm', 'day_type=weekday', 'time_band=night'})",frozenset({'congestion_level=Low'}),0.053555144793592115,0.25000616142945165,0.045914972273567466,0.8573400828347906,3.4292758143751603,1.0,0.032525856098923014,5.257214874883229,0.7484780955142929,0.1782092978764109,0.8097852144530784,0.520497722805408
"frozenset({'temp_band=warm', 'time_band=night'})",frozenset({'congestion_level=Low'}),0.075637707948244,0.25000616142945165,0.06467036352433765,0.8550016291951776,3.419922230342501,1.0,0.04576047050087524,5.172429417018009,0.7654960572162112,0.2478043252431769,0.8066672506521091,0.5568383540297654
frozenset({'time_band=night'}),frozenset({'congestion_level=Low'}),0.2510659272951325,0.25000616142945165,0.21422057917436846,0.8532443310101109,3.412893210837465,1.0,0.15145255042558659,5.110493132788076,0.9439996054101575,0.7467995532262222,0.8043241671563619,0.8550527648741406
"frozenset({'temp_band=cool', 'weather_band=fair_weather', 'time_band=night'})",frozenset({'congestion_level=Low'}),0.062033271719038816,0.25000616142945165,0.05249537892791128,0.8462455303933254,3.384898698315179,1.0,0.03698667878452422,4.877866903571241,0.7511675655911398,0.20225999430253536,0.7949923563375892,0.5281109355436658
"frozenset({'day_type=weekday', 'weather_band=fair_weather', 'time_band=night'})",frozenset({'congestion_level=Low'}),0.11674676524953789,0.25000616142945165,0.09855822550831793,0.844205193160228,3.376737550520135,1.0,0.06937081486897566,4.813984841881691,0.7968905628382651,0.3674875941922441,0.7922718843441311,0.6192141896400509
"frozenset({'weather_band=adverse_weather', 'time_band=night'})",frozenset({'congestion_level=Low'}),0.08566851509550216,0.25000616142945165,0.07231053604436229,0.844073647871116,3.37621138233148,1.0,0.05089287942997476,4.809923584633253,0.7697536683704849,0.27456485120718693,0.7920964891844019,0.5666543318219933
